BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,Journal_Book
6,,10873804,"Xiaolong, Zhou; Shijiao, Han; Zhenze, Li",Explainable Recommendation System Based on Aspect-Based Sentiment Analysis,,,,Dec,1-4,2024,,,,International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP),,,,,,,,,,,,"At information age, the rapid increase of information caused Information Overload problem, which made recommendation system (RS) come into being and push forward the quick development. Nowadays RS has been widely used in human society. Meanwhile, RS also faces challenges like data sparsity and poor explainability. An effective way to address data sparsity challenge is to exploit content information (like review data) for modeling users and items. By further mining content information, deep relationship between user-item interactions can be uncovered and therefore the explanation for recommendation results can be provided. In order to fully mine the information in review data and make precise recommendation with corresponding explanation, a recommendation model for rating prediction task is proposed in this paper. It exploits aspect-based sentiment analysis related theory to mine review features, incorporates the modeling of user preference and item properties with fine-grained sentiment information, which solves problems that previous model has poor context feature extraction ability and the sentiment analysis results are lack of reliability. Extensive experiments show that this model outperforms baseline models in rating prediction task and can provide explanations for the rating prediction results in view of sentiment.",,Analytical models;Sentiment analysis;Reviews;Computational modeling;Predictive models;Feature extraction;Wavelet analysis;Data models;Recommender systems;Context modeling;Recommender system;Review-based recommendation;Aspect-based sentiment analysis;Explainable recommendation,,,International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP)
6,,8594883,"Wang, Xiting; Chen, Yiru; Yang, Jie; Wu, Le; Wu, Zhengtao; Xie, Xing",A Reinforcement Learning Framework for Explainable Recommendation,,,,Nov,587-596,2018,,,,IEEE International Conference on Data Mining (ICDM),,,,,,,,,,,,"Explainable recommendation, which provides explanations about why an item is recommended, has attracted increasing attention due to its ability in helping users make better decisions and increasing users' trust in the system. Existing explainable recommendation methods either ignore the working mechanism of the recommendation model or are designed for a specific recommendation model. Moreover, it is difficult for existing methods to ensure the presentation quality of the explanations (e.g., consistency). To solve these problems, we design a reinforcement learning framework for explainable recommendation. Our framework can explain any recommendation model (model-agnostic) and can flexibly control the explanation quality based on the application scenario. To demonstrate the effectiveness of our framework, we show how it can be used for generating sentence-level explanations. Specifically, we instantiate the explanation generator in the framework with a personalized-attention-based neural network. Offline experiments demonstrate that our method can well explain both collaborative filtering methods and deep-learning-based models. Evaluation with human subjects shows that the explanations generated by our method are significantly more useful than the explanations generated by the baselines.",,"Reinforcement learning;Recommender systems;Quality control;Collaboration;Predictive models;Neural networks;Transforms;Explainable recommendation, reinforcement learning, personalized explanation, attention networks",,,IEEE International Conference on Data Mining (ICDM)
7,,10048787,"Yang, Zhe-Rui; He, Zhen-Yu; Wang, Chang-Dong; Lai, Jian-Huang; Tian, Zhihong",Collaborative Meta-Path Modeling for Explainable Recommendation,IEEE Transactions on Computational Social Systems,11.0,2.0,April,1805-1815,2024,,,,,,,,,,,,,,,,"Although recommender systems have achieved considerable success, sometimes it is difficult to convince users due to the failure to explain the recommendation results. For this reason, explainable recommender systems have drawn a lot of attention in recent years. Among explainable recommendation models, the meta-path-based model plays a significant role because it can reason over the path connecting a user–item pair to achieve explainability. However, it is difficult for the meta-path-based model to achieve such a common explanation in collaborative filtering as “a user similar to you has purchased item  $A$ ” because there is no such meta-path. In this article, we contribute a new model named collaborative meta-path modeling for explainable recommendation (COMPER). It models the similarity of user pairs and item pairs through rating information and constructs collaborative meta-paths for explainability. In addition, we design an attention mechanism to aggregate different paths connecting the target user and the target item. Moreover, the information of the subgraph composed of all paths connecting the target user and the target item is integrated for rating prediction. Extensive experiments on five real-world datasets demonstrate that COMPER achieves good performance in a variety of scenarios, achieving improvements over several baselines.",,Collaborative filtering;Recommender systems;Predictive models;Computational modeling;Deep learning;Correlation coefficient;Recommender systems;Collaborative filtering;explainable recommendation;meta-path,,,IEEE Transactions on Computational Social Systems
6,,10446052,"Zhang, Jingsen; Bo, Xiaohe; Wang, Chenxi; Dai, Quanyu; Dong, Zhenhua; Tang, Ruiming; Chen, Xu",Active Explainable Recommendation with Limited Labeling Budgets,,,,April,5375-5379,2024,,,,"ICASSP - IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,,,,,,,,,,"Explainable recommendation has gained significant attention due to its potential to enhance user trust and system transparency. Previous studies primarily focus on refining model architectures to generate more informative explanations, assuming that the explanation data is sufficient and easy to acquire. However, in practice, obtaining the ground truth for explanations can be costly since individuals may not be inclined to put additional efforts to provide behavior explanations. In this paper, we study a novel problem in the field of explainable recommendation, that is, “given a limited budget to incentivize users to provide behavior explanations, how to effectively collect data such that the downstream models can be better optimized?” To solve this problem, we propose an active learning framework for recommender system, which consists of an acquisition function for sample collection and an explainable recommendation model to provide the final results. We consider both uncertainty and influence based strategies to design the acquisition function, which can determine the sample effectiveness from complementary perspectives. To demonstrate the effectiveness of our framework, we conduct extensive experiments based on real-world datasets.",,Uncertainty;Refining;Self-supervised learning;Signal processing;Data models;Speech processing;Recommender systems;Explainable Recommendation;Recommender System;Active learning;Influence Function,,,"ICASSP - IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)"
6,,10827288,"Bhatti, Uzair Aslam; Yu, Yang Ke; Mamyrbayev, O. Zh.; Aitkazina, A. A.; Hao, Tang; Zhumazhan, N. O.",Recommendations for Healthcare: An Interpretable Approach Using Deep Learning,,,,Aug,529-535,2024,,,,International Conference on Pattern Recognition and Artificial Intelligence (PRAI),,,,,,,,,,,,"This study introduces a novel approach to patient interpretation and diagnosis, utilizing Graph Neural Networks (GNNs) within a collaborative recommendation framework. Our proposed system employs GNN-based collaborative filtering to model complex patient-patient and patient-symptom relationships in a comprehensive graph structure. The system is designed to offer interpretable recommendations, explaining the reasoning behind diagnostic suggestions. The study focused on common chronic conditions in older adults, including high blood pressure, coronary heart disease, diabetes and stroke, as well as fractures, osteoporosis and arthritis. We used a graphical hybrid recommender system (GHRS) and a cooperative graph neural network (GCFNA and GCFYA) to predict hospital disease diagnosis. Encouragingly, both the GCFNA and GCFYA models achieved prediction accuracy rates of over 90%, highlighting the model's excellent performance in accurate predictions. The ultimate goal is to provide precise disease predictions for elderly patients, offer medical guidance, and enhance patient care in hospitals, particularly in managing chronic diseases.",,Heart;Osteoporosis;Accuracy;Hospitals;Predictive models;Graph neural networks;Pattern recognition;Older adults;Recommender systems;Medical diagnostic imaging;Hypertension;Coronary heart disease;diabetes mellitus;chronic obstructive pulmonary disease;graph convolutional neural network,,,International Conference on Pattern Recognition and Artificial Intelligence (PRAI)
6,,9482221,"Song, Wei; Wang, Chenglong; Ning, Keqing",Generate Personalized Explanations for Recommendation based on Keywords,,4.0,,June,51-57,2021,,,,"IEEE Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)",,,,,,,,,,,,"Explainable recommendation refers to providing users with recommended products and explaining to users the reasons for recommending the products. Recommendation explanations can greatly increase users’ trust and satisfaction with the recommender system, and to a certain extent can assist users make decisions efficiently. The current recommendation explanation is mainly templated sentences although this method is simple and easy to understand, it is relatively rigid, lacks flexibility, insufficient service, and requires a lot of manpower and material resources. Inspired by the above questions, by mining user comment information, we propose a method to generate multiple recommendations based on keywords. First, the keywords in the comment information are extracted through STF-IDF, and then the recommendation explanation is generated through the classic network GRU generated by natural language. Experiments show that our proposed method not only has better recommendation accuracy but is also has a higher quality of recommended interpretation compared to classic methods",,Automation;Conferences;Natural languages;Information management;Data mining;Recommender systems;recommender systems;explainable recommendation;natural language generation;keyword extraction,,,"IEEE Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)"
6,,10658914,"Chun, Hong Wei; Ong, Rongqing Kenneth; Khong, Andy W. H.",Reasonable Sense of Direction: Making Course Recommendations Understandable with LLMs,,,,Aug,1408-1412,2024,,,,IEEE International Midwest Symposium on Circuits and Systems (MWSCAS),,,,,,,,,,,,"Course recommendation systems play an essential role in academic institutions for students to find courses that align with their interests and graduation requirements. However, due to their “black-box” nature, recommendation systems often lack transparency and interpretability, leading to challenges in trust and usability. Our proposed framework leverages Large Language Models (LLMs) to generate clear, human-readable explanations based on course content by drawing connections between the existing courses taken by the student and recommended courses.",,Circuits and systems;Large language models;Closed box;Cognition;Usability;Integrated circuit modeling;Recommender systems;Course Recommendation Systems;Educational Technology;Large Language Models,,,IEEE International Midwest Symposium on Circuits and Systems (MWSCAS)
6,,10334552,"Chen, Zhanghui; Ai, Xinbo; Guo, Yanjun; Huang, Yitian; Yang, Jing",Explainable Recommendation for Hazard Inspection Reasoning Through Knowledge Graph,,,,Oct,37-42,2023,,,,IEEE International Conference on Computer Science and Network Technology (ICCSNT),,,,,,,,,,,,"In the process of hazards inspecting in safety production, the number and types of hazard entities are often vast and varied. Introducing of existing recommendation algorithms may lead to low recommendation quality and lack of explain ability. To address these challenges, achieving dual improvement in accuracy and reliability of hazard inspection recommendations. We propose three metrics that represent the explanation quality of recommendation results: Inspection Recency of Hazard, Risk Level of Entity and Utilization Rate of Graph. And then we propose two optimization methods on model inner-training and post-training: Pruning-Strategy Optimization and Re-Rank Optimization. In hazards inspection dataset of safety production, hazard inspection recommendation NDCG@10 reaches 0.433(5.1 % higher than baseline) and overall path explanation metric scores reaches 1.928(74.8% higher than baseline). Compared with previous algorithms, our methods achieve higher recommendation performance and explainability quality.",,Measurement;Computer science;Law enforcement;Optimization methods;Production;Knowledge graphs;Inspection;recommendation system;hazard inspection;ex- plainability,,,IEEE International Conference on Computer Science and Network Technology (ICCSNT)
6,,10825771,"Turgut, Özlem; Kök, İbrahim; Özdemir, Suat",AgroXAI: Explainable AI-Driven Crop Recommendation System for Agriculture 4.0,,,,Dec,7208-7217,2024,,,,IEEE International Conference on Big Data (BigData),,,,,,,,,,,,"Today, crop diversification in agriculture is a critical issue to meet the increasing demand for food and to improve food safety and quality. This issue is considered to be the most important challenge for the next generation of agriculture due to diminishing natural resources, limited arable land and unpredictable climatic conditions caused by climate change. In this paper, we employ emerging technologies such as the Internet of Things (IoT), machine learning (ML) and explainable artificial intelligence (XAI) to improve operational efficiency and productivity in the agricultural sector. Specifically, we propose an edge computing-based explainable crop recommendation system, AgroXAI, which suggests suitable crops for a region based on weather and soil conditions. In this system, we provide local and global explanations of ML model decisions with methods such as ELI5, LIME, SHAP, which we integrate into ML models. More importantly, we provide regional alternative crop recommendations with the Counterfactual explainability method. In this way, we envision that our proposed AgroXAI system will be a platform that provides regional crop diversity in the next generation agriculture.",,Productivity;Explainable AI;Computational modeling;Crops;Soil;Agriculture;Internet of Things;Sustainable development;Recommender systems;Next generation networking;Explainable Artificial Intelligence (XAI);Agriculture 4.0;Internet of Things;edge computing;crop recommendation,,,IEEE International Conference on Big Data (Big Data)
6,,10308154,"Das, Samiran; Chatterjee, Sujoy",Explainable Machine Learning for Crop Recommendation from Agriculture Sensor Data- a New Paradigm,,,,July,1-7,2023,,,,International Conference on Computing Communication and Networking Technologies (ICCCNT),,,,,,,,,,,,"The dwindling agricultural earnings and decrease in crop yield in recent years due to improper crop selection and fluctuation/ uncertainty in weather necessitate proper machine learning-based analysis. Machine learning methods can potentially alleviate the predicament caused by the lack of appropriate soil testing, consultation, and bias in manual suggestion. This work attempted to comprehend the agricultural sensor data and weather conditions and formulated the task in terms of supervised classification. The work obtained accurate suggestions in the presence of missing data, noise, etc. by using advanced machine learning methods. But recommendation alone is insufficient to convince farmers and other stakeholders to adopt this approach. Hence, this paper introduced explainable machine learning to completely comprehend the decision-making process. This work quantified the importance of features, explained individual prediction outcomes, and uncovered the rationale for decisions. The work employed state-of-the-art local interpretable model-agnostic, post-hoc explanation methods to provide in-depth insights. The insights obtained from the explanations can help the farmers develop a knowledge base and assist the farmers in choosing the appropriate sensors for the task. The human interpretable analysis enables the farmers to obtain satisfactory yields in these ever-changing and extreme weather conditions and environmental degradation.",,Uncertainty;Pollution control;Machine learning;Soil;Pollution measurement;Stakeholders;Resource management;Agricultural data analytics;Sensor data;Crop recommendation;Explainable machine learning,,,International Conference on Computing Communication and Networking Technologies (ICCCNT)
7,,10742303,"Cao, Yang; Shang, Shuo; Wang, Jun; Zhang, Wei",Explainable Session-Based Recommendation via Path Reasoning,IEEE Transactions on Knowledge and Data Engineering,37.0,1.0,Jan,278-290,2025,,,,,,,,,,,,,,,,"This paper explores explaining session-based recommendation (SR) by path reasoning. Current SR models emphasize accuracy but lack explainability, while traditional path reasoning prioritizes knowledge graph exploration, ignoring sequential patterns present in the session history. Therefore, we propose a generalized hierarchical reinforcement learning framework for SR, which improves the explainability of existing SR models via Path Reasoning, namely PR4SR. Considering the different importance of items to the session, we design the session-level agent to select the items in the session as the starting nodes for path reasoning and the path-level agent to perform path reasoning. In particular, we design a multi-target reward mechanism to adapt to the skip behaviors of sequential patterns in SR and introduce path midpoint reward to enhance the exploration efficiency and accuracy in knowledge graphs. To improve the knowledge graph’s completeness and diversify the paths of explanation, we incorporate extracted feature information from images into the knowledge graph. We instantiate PR4SR in five state-of-the-art SR models (i.e., GRU4REC, NARM, GCSAN, SR-GNN, SASRec) and compare it with other explainable SR frameworks to demonstrate the effectiveness of PR4SR for recommendation and explanation tasks through extensive experiments with these approaches on four datasets.",,Cognition;Knowledge graphs;Accuracy;Reinforcement learning;Feature extraction;Matrix decomposition;Data mining;Attention mechanisms;Predictive models;Correlation;Explainable recommendation;hierarchical reinforcement learning;knowledge graph;session-based recommendation (SR),,,IEEE Transactions on Knowledge and Data Engineering
7,,10623784,"Guo, Feipeng; Wang, Zifan",KEMB-Rec: Knowledge-Enhanced Explainable Multibehavior Recommendation With Graph Contrastive Learning,IEEE Internet of Things Journal,12.0,4.0,Feb,3563-3576,2025,,,,,,,,,,,,,,,,"In the era of Internet of Things (IoT), intelligent recommendation systems are crucial components for users to locate the items they require. Existing recommendation systems overlook the diversity of user behaviors and rely solely on utilizing a singular form of user-item interaction data. Multibehavior recommendation (MBR) works to solve this problem by utilizing multityped user behaviors to mine the heterogeneous relations between users and items to improve recommendation accuracy. Nevertheless, there are still challenges to be overcome, including capture of differences and commonalities between different types of behaviors, learning of users’ personalized behavioral patterns, consideration of semantic knowledge, and building of users’ trust in algorithms. In light of the aforementioned considerations, we propose a knowledge-enhanced explainable MBR model (KEMB-Rec) with graph contrastive learning, comprising two modules. The first is the user behavior-aware module, which mines user’s behavior pattern using the user behavior hyper meta-graphs and captures the differences and commonalities between different behaviors through graph contrastive learning. The second is the semantic knowledge-aware module, which is based on single behavior interaction graphs to mine the semantic relational knowledge, and makes full use of it to represent users and items. Then, we design contrastive learning task and recommendation task, and the two tasks are optimized jointly. At the same time, effective recommendation explanations are provided by mining paths and semantics between users and items as a way to enhance user trust and satisfaction. The proposed KEMB-Rec is evaluated in real-world data sets, with results indicating that KEMB-Rec outperforms various baselines.",,Contrastive learning;Semantics;Task analysis;Internet of Things;Data mining;Recommender systems;Accuracy;Explanation;graph contrastive learning;graph neural network (GNN);multibehavior recommendation (MBR);semantic knowledge,,,IEEE Internet of Things Journal
6,,10884422,"Batmani, Sahar; Moradi, Parham; Heidari, Narges; Jalili, Mahdi",An Explainable Recommender System by Integrating Graph Neural Networks and User Reviews,,,,Dec,669-674,2024,,,,IEEE International Conference on Data Mining (ICDM),,,,,,,,,,,,"This paper introduces an explainable Graph Neural Network (GNN)-based recommender system that integrates user-item interactions and user reviews to enhance recommendation accuracy and interpretability. The proposed method leverages Temporal Convolutional Networks (TCNs) as a language model to encode user reviews into vector representations, capturing temporal dynamics and contextual information. Additionally, it extracts opinion-aspect pairs from reviews, enabling the system to understand specific product features and user sentiments. Bipartite graphs are constructed to represent interactions between users/items and opinion aspects, facilitating the integration of user reviews into the GNN framework. A contrastive learning approach is employed to combine these graphs with TCN-generated review embeddings, enhancing the system's ability to capture complex relationships. Finally, a recommendation strategy is proposed which considers relevant opinion-aspects as explanations for recommendations. The experiments conducted on several benchmarks reveal that our method outperforms its competitors.",,Reviews;Convolution;Contrastive learning;Feature extraction;Graph neural networks;Vectors;Bipartite graph;Data mining;Convolutional neural networks;Recommender systems;Recommender System;Explainability;Graph Neural Networks;Temporal Convolution Networks;User Reviews,,,IEEE International Conference on Data Mining (ICDM)
7,,SHIMIZU2022107970,"Shimizu, Ryotaro; Matsutani, Megumi; Goto, Masayuki",An explainable recommendation framework based on an improved knowledge graph attention network with massive volumes of side information,Knowledge-Based Systems,239.0,,,107970,2022,,,https://www.sciencedirect.com/science/article/pii/S0950705121010959,,,,,,,,,,,,,"In recent years, explainable recommendation has been a topic of active study. This is because the branch of the machine learning field related to methodologies is enabling human understanding of the reasons for the outputs of recommender systems. The realization of explainable recommendation is widely expected to increase both user satisfaction and the demand for explainable recommendation systems. Explainable recommendation utilizes a wealth of side information (such as sellers, brands, user ages and genders, and bookmark information, among others) to expound the decision-making reasoning applied by recommendation models. In explainable recommendation, although learning side information containing numerous variables leads to rich interpretability, learning too many variables presents a challenge because decreases the amount of learning that a given computational resource can perform, and the accuracy of the recommendation model may be degraded. However, numerous and diverse variables are included in the side information stored by the actual companies operating massive real-world services. Hence, to realize practical applications of this valuable information, it is necessary to resolve problems such as computational cost. In this study, we propose a new framework for explainable recommendation based on an improved knowledge graph attention network model, which utilizes the side information of items and realizes high recommendation accuracy. The proposed framework enables direct interpretation by visualizing the reasons for the recommendations provided. Experimental results show that the proposed framework reduced computational time requirements by approximately 80%, while maintaining recommendation accuracy by enabling the model to learn the probabilistically given edges included in the graph structure. Moreover, the results show that the proposed framework exhibited richer interpretability than the conventional model. Finally, a multifaceted analysis suggests that the proposed framework is not only effective as an explainable recommendation model but also provides a powerful tool for planning various marketing strategies.",,"Explainable artificial intelligence, Explainable recommendation, Model-intrinsic approach, Knowledge graph attention network, Knowledge graph embedding, Knowledge graph enabled recommendation",,,Knowledge-Based Systems
7,,BRUNOT2022102021,"Brunot, Léo; Canovas, Nicolas; Chanson, Alexandre; Labroche, Nicolas; Verdeaux, Willème",Preference-based and local post-hoc explanations for recommender systems,Information Systems,108.0,,,102021,2022,,,https://www.sciencedirect.com/science/article/pii/S0306437922000254,,,,,,,,,,,,,"Post-hoc explanation aims at defining a simple local surrogate model to shed light on a prediction produced by a complex, generally black-box, model. In the general context of classification, it has been shown that local surrogates may not always be able to capture a local explanation, i.e. for a specific instance prediction, but rather depict more of a general behavior of the black-box. This problem is even more complex in a recommendation scenario where classes and decision boundaries are not explicitly defined and where data are very sparse by nature. We show in this paper that it is possible to tackle these problems with an efficient sampling around the recommendation instance to explain, to finally learn a proper local surrogate model. To this aim, this paper introduces several new approaches to capture efficiently local explanation models in the context of recommendation, all defined around a locality sample. Noticeably, and novel to this work, we show that it is possible to achieve a simple, yet better quality explanation model by not directly considering ratings, but rather implicit preferences as expressed by comparisons of pairs of ratings. We introduce to this extent a novel explainable model based on a pairwise loss RankNet architecture. Extensive experiments show that our methods can be better than state-of-the-art methods depending on the locality of the black-box model, and are much more efficient to retrieve meaningful explainable features locally.",,"Post-hoc explanation, Recommender systems, Locality, Pairwise preference",,,Information Systems
7,,TAO2022109300,"Tao, Shaohua; Qiu, Runhe; Xu, Bo; Ping, Yuan",Micro-behaviour with Reinforcement Knowledge-aware Reasoning for Explainable Recommendation,Knowledge-Based Systems,251.0,,,109300,2022,,,https://www.sciencedirect.com/science/article/pii/S0950705122006529,,,,,,,,,,,,,"Existing practical recommendation scenarios involve multiple micro-behaviour user–item interactions, such as clicks, page views, add-to-favourites, and purchases, which provide fine-grained and a better in-depth understanding of the user’s preference. Furthermore, some recommendation methods have incorporated item knowledge into the micro-behaviour of user–item interaction. Although some have proved effective, two insights are often neglected. First, they fail to combine micro-behaviour with the relation of the knowledge graph (KG), and the semantic relationship between micro-behaviour and relation is not captured. Second, they do not provide explicit reasoning for micro-behaviour from user–item interaction data. These insights motivated us to propose a novel model of Micro-behaviour with Reinforcement Knowledge-aware Reasoning for Explainable Recommendation (MBKR), which incorporates micro-behaviour and the KG into reinforcement learning for explainable recommendation. Specifically, the model learns the behaviour by user–item propagation and the relation from the KG and combines the two to calculate the behavioural strength to mine user’s interests. In addition, we designed a Shawo-relational path that combines recommendation and interpretability by providing rational paths; these paths capture the semantics of behaviours and relations. Finally, we extensively evaluated our method on several large-scale benchmark datasets, and the results indicate that the proposed method is more effective in providing recommendations than state-of-the-art methods.",,"Micro-behaviour, Knowledge graph, Deep reinforcement learning, Recommendation, Explanation",,,Knowledge-Based Systems
7,,TAO2021107217,"Tao, Shaohua; Qiu, Runhe; Ping, Yuan; Ma, Hui",Multi-modal Knowledge-aware Reinforcement Learning Network for Explainable Recommendation,Knowledge-Based Systems,227.0,,,107217,2021,,,https://www.sciencedirect.com/science/article/pii/S0950705121004792,,,,,,,,,,,,,"Knowledge graphs (KGs) can provide rich, structured information for recommendation systems as well as increase accuracy and perform explicit reasoning. Deep reinforcement learning (RL) has also sparked great interest in personalized recommendations. The combination of the two holds promise in carrying out interpretable causal inference procedures and improving the performance of graph-structured recommendation. However, most KG-based recommendation focus on rich semantic relationships between entities in a heterogeneous knowledge graph, and thus fail to fully make use of the image information corresponding to an entity. In order to address these issues, we proposed a novel Multi-modal Knowledge-aware Reinforcement Learning Network (MKRLN), which couples recommendation and interpretability by providing actual paths in multi-modal KG (MKG). The MKRLN can generate path representation by composing the structural and visual information of entities, and infers the underlying rational of agent-MKG interactions by leveraging the sequential dependencies within a path from the MKG. In addition, as KGs have too many attributes and entities, their combination with RL leads to too many action spaces and states in the reinforcement learning space, which complicates the search of action spaces. Furthermore, in order to solve this problem, we proposed a new hierarchical attention-path, which makes users focus their attention on the items they are interested in. This reduces the relations and entities in the KGs, which in turn reduces the action space and state in RL, shortens the path to the target entity, and improves the accuracy of recommendation. Our model has explicit explanation ability in knowledge and images. Finally, we extensively evaluated our model on several large-scale real-world benchmark datasets, and it yielded favorable results compared with state-of-the-art methods.",,"Multi-modal knowledge graph, Knowledge graph, Image, Deep reinforcement learning, Recommendation",,,Knowledge-Based Systems
7,,YANG2021106687,"Yang, Chao; Zhou, Weixin; Wang, Zhiyu; Jiang, Bin; Li, Dongsheng; Shen, Huawei",Accurate and Explainable Recommendation via Hierarchical Attention Network Oriented Towards Crowd Intelligence,Knowledge-Based Systems,213.0,,,106687,2021,,,https://www.sciencedirect.com/science/article/pii/S0950705120308169,,,,,,,,,,,,,"Review-based recommendation algorithms can alleviate the data sparsity issue in collaborative filtering by combining user ratings and reviews in model learning. However, most existing methods simplify the feature extraction process from reviews by assuming that different granularities of information (e.g., word, review, and feature) are equally important, which cannot optimally leverage the most important information and thus achieves suboptimal recommendation accuracy. Besides, many existing works directly regard text features as users or items representations, which may not be enough to make precise representations due to the large amount of redundant information in reviews. To tackle the two problems mentioned above, we propose a deep learning-based method named Hierarchical Attention Network Oriented Towards Crowd Intelligence (HANCI). First, HANCI replaces the commonly-used topic models or CNN text processor with an RNN text processor in review feature extraction, which can fully exploit the advantages of the sequential dependencies of reviews by using the whole hidden layers of the bidirectional LSTM as outputs. Second, HANCI weighs the importance of features guided by crowd intelligence to more accurately represent each user on each item, and vice versa. Third, HANCI utilizes a hierarchical attention network based on multi-level review text analysis to extract more precise user preferences and item latent features, so that HANCI can explore the importance of words, the usefulness of reviews and the importance of features to achieve more accurate recommendation. Extensive experiments on three public datasets show that HANCI outperforms the state-of-the-art review-based recommendation algorithms in accuracy and meanwhile provides insightful explanations.",,"Crowd intelligence, Explainable recommendation, Hierarchical attention, Review representation, Recommender system",,,Knowledge-Based Systems
7,,LIU2020102099,"Liu, Peng; Zhang, Lemei; Gulla, Jon Atle",Dynamic attention-based explainable recommendation with textual and visual fusion,Information Processing & Management,57.0,6.0,,102099,2020,,,https://www.sciencedirect.com/science/article/pii/S0306457319301761,,,,,,,,,,,,,"Explainable recommendation, which provides explanations about why an item is recommended, has attracted growing attention in both research and industry communities. However, most existing explainable recommendation methods cannot provide multi-model explanations consisting of both textual and visual modalities or adaptive explanations tailored for the user’s dynamic preference, potentially leading to the degradation of customers’ satisfaction, confidence and trust for the recommender system. On the technical side, Recurrent Neural Network (RNN) has become the most prevalent technique to model dynamic user preferences. Benefit from the natural characteristics of RNN, the hidden state is a combination of long-term dependency and short-term interest to some degrees. But it works like a black-box and the monotonic temporal dependency of RNN is not sufficient to capture the user’s short-term interest. In this paper, to deal with the above issues, we propose a novel Attentive Recurrent Neural Network (Ante-RNN) with textual and visual fusion for the dynamic explainable recommendation. Specifically, our model jointly learns image representations with textual alignment and text representations with topical attention mechanism in a parallel way. Then a novel dynamic contextual attention mechanism is incorporated into Ante-RNN for modelling the complicated correlations among recent items and strengthening the user’s short-term interests. By combining the full latent visual-semantic alignments and a hybrid attention mechanism including topical and contextual attentions, Ante-RNN makes the recommendation process more transparent and explainable. Extensive experimental results on two real world datasets demonstrate the superior performance and explainability of our model.",,"Dynamic explainable recommendation, Recurrent neural network, Attention mechanism, Semantic alignment, Multi-model fusion, User interests",,,Information Processing & Management
7,,LIANG202194,"Liang, Qianqiao; Zheng, Xiaolin; Wang, Yan; Zhu, Mengying","O3ERS: An explainable recommendation system with online learning, online recommendation, and online explanation",Information Sciences,562.0,,,94-115,2021,,,https://www.sciencedirect.com/science/article/pii/S0020025520312366,,,,,,,,,,,,,"Explainable recommendation systems (ERSs) have attracted increasing attention from researchers, which generate high-quality recommendations with intuitive explanations to help users make appropriate decisions. However, most of the existing ERSs are designed with an offline setting, which can hardly adjust their models using the online feedback instantly for improved performance. To overcome the limitations of ERSs with the offline setting, we propose a novel online setting for ERSs and devise an effective model called O3ERS in this online setting, which can perform online learning with good scalability and rigorous theoretical guides for better online recommendations and online explanations. O3ERS also addresses two challenging problems in real scenarios, namely, the sparsity and delay of online explanations’ feedback as well as the partialness and insufficiency of online recommendations’ feedback. Specifically, O3ERS not only instantly leverages the knowledge learned from the recommendations’ feedback to adjust the sparse and delayed explanations’ feedback for better explanations but also utilizes a novel exploitation–exploration strategy that incorporates the explanations’ feedback to adjust the partial and insufficient recommendations’ feedback for better recommendations. Our theoretical analysis and empirical studies on one simulated and two real-world datasets show that our model outperforms the state-of-the-art models in online scenarios remarkably.",,"Explainable recommendation systems, Online learning, Factorization bandit",,,Information Sciences
7,,ZANON2022109333,"Zanon, André Levi; da Rocha, Leonardo Chaves Dutra; Manzato, Marcelo Garcia",Balancing the trade-off between accuracy and diversity in recommender systems with personalized explanations based on Linked Open Data,Knowledge-Based Systems,252.0,,,109333,2022,,,https://www.sciencedirect.com/science/article/pii/S0950705122006682,,,,,,,,,,,,,"Collaborative filtering recommendation algorithms generate suggestions based on similar interactions between users. Although it provides accurate recommendations, the approach has two limitations: the popularity bias, which frequently suggests a small set of the most interacted items, and the systems’ black box functioning, as they are grounded on complex mathematical models. To improve such aspects in collaborative filtering algorithms, this paper introduces a multi-domain item reordering system based on the best explanation for an item, which are the best ranked paths extracted from a Linked Open Data knowledge graph connecting recommended and interacted items. To order paths, the algorithm assigns a value to the node attributes connecting two items by calculating the popularity of the property between interacted items that are rare in the full set of items. Results from two datasets of the movie and music domains comparing the proposed reordering system with six baselines of different collaborative filtering families showed that our easy-to-explain approach improved diversity and/or accuracy metrics.",,"Recommender systems, Collaborative filtering, Linked open data, Explainable AI",,,Knowledge-Based Systems
